%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=210461, 2015/05/9 19:27:29.62)
67 805 1.444567e+01 8.535896e-01 1.601000e-04 1.601000e-04 3.179891e-04 3.732135e-04 4.043570e-04 4.101053e-04 4.264851e-04 4.730850e-04 5.053729e-04 1.300357e-03 7.397260e-03 1.155811e-02 1.535140e-02 6.003116e-02 1.028907e-01 3.372559e-01 4.347584e-01 7.088934e-01 8.535896e-01 
68 817 1.367935e+01 8.513752e-01 1.571572e-04 1.571572e-04 3.236963e-04 3.718742e-04 4.015506e-04 4.064549e-04 4.262271e-04 4.734913e-04 5.025264e-04 1.300703e-03 7.382464e-03 1.151735e-02 1.532806e-02 5.998231e-02 1.020012e-01 3.344355e-01 4.371968e-01 7.019659e-01 8.513752e-01 
69 829 1.290714e+01 8.577002e-01 1.552783e-04 1.552783e-04 3.226396e-04 3.716615e-04 4.001576e-04 4.043914e-04 4.250366e-04 4.763719e-04 5.051605e-04 1.287293e-03 7.364226e-03 1.147203e-02 1.531875e-02 5.983049e-02 1.012672e-01 3.328245e-01 4.356763e-01 7.065152e-01 8.577002e-01 
70 841 1.260552e+01 8.656343e-01 1.524905e-04 1.524905e-04 3.210408e-04 3.706895e-04 3.978163e-04 4.067203e-04 4.225087e-04 4.796623e-04 5.031057e-04 1.285646e-03 7.311367e-03 1.139006e-02 1.528214e-02 5.976317e-02 1.016076e-01 3.288985e-01 4.317315e-01 7.035407e-01 8.656343e-01 
71 853 1.164924e+01 8.645546e-01 1.501676e-04 1.501676e-04 3.190603e-04 3.715133e-04 3.951842e-04 4.024437e-04 4.244082e-04 4.773574e-04 5.011551e-04 1.281827e-03 7.346624e-03 1.145401e-02 1.522558e-02 5.895773e-02 1.009912e-01 3.266070e-01 4.287469e-01 7.066439e-01 8.645546e-01 
72 865 1.100345e+01 8.592311e-01 1.482419e-04 1.482419e-04 3.198959e-04 3.696169e-04 3.926721e-04 4.011754e-04 4.240085e-04 4.755873e-04 4.987955e-04 1.289651e-03 7.370020e-03 1.112528e-02 1.514318e-02 5.882076e-02 1.004778e-01 3.259144e-01 4.267537e-01 7.092202e-01 8.592311e-01 
73 877 1.018047e+01 8.563195e-01 1.451017e-04 1.451017e-04 3.174654e-04 3.671770e-04 3.901697e-04 4.021433e-04 4.216889e-04 4.729847e-04 4.991724e-04 1.280794e-03 7.350115e-03 1.106889e-02 1.502189e-02 5.878405e-02 1.001795e-01 3.267566e-01 4.252245e-01 6.979604e-01 8.563195e-01 
74 889 9.655718e+00 8.595408e-01 1.428450e-04 1.428450e-04 3.157262e-04 3.671262e-04 3.823395e-04 4.009285e-04 4.165911e-04 4.752447e-04 5.030380e-04 1.269393e-03 7.355334e-03 1.096987e-02 1.487082e-02 5.888571e-02 1.001369e-01 3.233893e-01 4.246819e-01 6.984161e-01 8.595408e-01 
75 901 9.956529e+00 8.828513e-01 1.410331e-04 1.410331e-04 3.132444e-04 3.666475e-04 3.824689e-04 3.990351e-04 4.165724e-04 4.712990e-04 5.091822e-04 1.263237e-03 7.359347e-03 1.091064e-02 1.479592e-02 5.873219e-02 1.027819e-01 3.234223e-01 4.188716e-01 7.050562e-01 8.828513e-01 
76 913 9.609904e+00 8.822860e-01 1.393846e-04 1.393846e-04 3.120173e-04 3.657476e-04 3.833386e-04 3.965267e-04 4.122035e-04 4.723138e-04 5.098868e-04 1.254875e-03 7.279287e-03 1.083744e-02 1.475748e-02 5.841422e-02 1.031217e-01 3.236446e-01 4.161569e-01 7.097831e-01 8.822860e-01 
77 925 9.351911e+00 8.835162e-01 1.383803e-04 1.383803e-04 3.109989e-04 3.652742e-04 3.839034e-04 4.006651e-04 4.067672e-04 4.815053e-04 5.092351e-04 1.251438e-03 7.348559e-03 1.079357e-02 1.471398e-02 5.845089e-02 1.041717e-01 3.186006e-01 4.169080e-01 6.922495e-01 8.835162e-01 
78 937 9.049261e+00 8.901984e-01 1.372157e-04 1.372157e-04 3.134939e-04 3.644200e-04 3.821634e-04 3.989109e-04 4.049814e-04 4.895008e-04 5.086616e-04 1.233719e-03 7.322524e-03 1.071355e-02 1.472731e-02 5.786926e-02 1.030377e-01 3.218849e-01 4.153282e-01 6.902413e-01 8.901984e-01 
